"DMS_Project"

"Time      "	".A1.Translational_Displacement.X"	".D1.Translational_Displacement.X"	".M1.Translational_Displacement.X"	".O1.Translational_Displacement.X"	".H7.Translational_Displacement.X"	".N5.Translational_Displacement.X"	".C2.Translational_Displacement.X"	".G2.Translational_Displacement.X"	".K3.Translational_Displacement.X"
1.310000e+00	2.507249e+00	2.090948e+00	1.614534e+00	5.937695e-12	4.000000e-01	1.000000e-01	2.058691e+00	1.775297e+00	3.007205e+00
1.320000e+00	2.523664e+00	2.096350e+00	1.626339e+00	5.709211e-12	4.000000e-01	1.000000e-01	2.058382e+00	1.785898e+00	3.023343e+00
1.330000e+00	2.540026e+00	2.101675e+00	1.638115e+00	5.494938e-12	4.000000e-01	1.000000e-01	2.058309e+00	1.796145e+00	3.039192e+00
1.340000e+00	2.556327e+00	2.106919e+00	1.649856e+00	5.294654e-12	4.000000e-01	1.000000e-01	2.058500e+00	1.806004e+00	3.054762e+00
1.350000e+00	2.572559e+00	2.112078e+00	1.661557e+00	5.106804e-12	4.000000e-01	1.000000e-01	2.058981e+00	1.815445e+00	3.070063e+00
1.360000e+00	2.588713e+00	2.117150e+00	1.673211e+00	4.931389e-12	4.000000e-01	1.000000e-01	2.059777e+00	1.824436e+00	3.085107e+00
1.370000e+00	2.604782e+00	2.122131e+00	1.684813e+00	4.767964e-12	4.000000e-01	1.000000e-01	2.060914e+00	1.832946e+00	3.099905e+00
1.380000e+00	2.620759e+00	2.127019e+00	1.696359e+00	4.614975e-12	4.000000e-01	1.000000e-01	2.062418e+00	1.840944e+00	3.114469e+00
1.390000e+00	2.636638e+00	2.131812e+00	1.707842e+00	4.473089e-12	4.000000e-01	1.000000e-01	2.064314e+00	1.848402e+00	3.128811e+00
1.400000e+00	2.652410e+00	2.136506e+00	1.719259e+00	4.340306e-12	4.000000e-01	1.000000e-01	2.066626e+00	1.855290e+00	3.142944e+00
1.410000e+00	2.668069e+00	2.141101e+00	1.730605e+00	4.216405e-12	4.000000e-01	1.000000e-01	2.069378e+00	1.861583e+00	3.156880e+00
